($ millions),Canadian Banking,International Banking,Global Wealth Management,Global Banking and Markets,Other,Total
Reported net income (loss),"$2,103","1,463 $",753 $,$867,$-895,"$4,291"
$Net income attributable to non-controlling interests in subsidiaries (NCI),–,$46,$5,–,–,$51
Reported net income attributable to equity holders,"$2,103","$1,417",$748,$867,$-895,"$4,240"
Reported net income attributable to preferred shareholders and other equity instrument holders,$1,$1,–,$1,$228,$231
Reported net income attributable to common shareholders,"$2,102","1,416 $",748 $,$866,"$-1,123","$4,009"
$Adjusting items impacting non-interest expenses (Pre-tax) $Amortization of acquisition-related intangible assets,$2,$16,$18,–,–,$36
$Total non-interest expenses adjustments (Pre-tax),$2,$16,$18,–,–,$36
Total impact of adjusting items on net income before taxes,$2,$16,$18,–,–,$36
Impact of adjusting items on income tax expense,$-1,$-4,$-5,–,–,$-10
Total impact of adjusting items on net income,$1,$12,$13,–,–,$26
Total impact of adjusting items on net income attributable to equity holders and common shareholders,$1,$12,$13,–,–,$26
Adjusted net income (loss),"$2,104","1,475 $",766 $,$867,$-895,"$4,317"
Adjusted net income attributable to equity holders,"$2,104","1,429 $",761 $,$867,$-895,"$4,266"
Adjusted net income attributable to common shareholders,"$2,103","1,428 $",761 $,$866,"$-1,123","$4,035"
