Adjusted Results ($ millions),"For the three months ended January 31, 2024 Adjusted","For the three months ended January 31, 2024 Foreign exchange","For the three months ended January 31, 2024 Constant dollar adjusted","For the three months ended April 30, 2023 Adjusted","For the three months ended April 30, 2023 Foreign exchange","For the three months ended April 30, 2023 Constant dollar adjusted","For the six months ended April 30, 2023 Adjusted","For the six months ended April 30, 2023 Foreign exchange","For the six months ended April 30, 2023 Constant dollar adjusted"
Net interest income ,"$2,246",$19,"$2,227","$1,999",$8,"$1,991","$3,891",$-82,"$3,973"
$Non-interest income ,$857,$6,$851,$743,$-88,$831,"$1,535",$-163,"$1,698"
Total revenue ,"$3,103",$25,"$3,078","$2,742",$-80,"$2,822","$5,426",$-245,"$5,671"
Provision for credit losses ,$574,$6,$568,$436,$-3,$439,$840,$-27,$867
$Non-interest expenses ,"$1,563",$2,"$1,561","$1,467",$-24,"$1,491","$2,890",$-99,"$2,989"
Income tax expense ,$192,$4,$188,$174,$-10,$184,$345,$-20,$365
Net income ,$774,$13,$761,$665,$-43,$708,"$1,351",$-99,"$1,450"
,,,,,,,,,
interests in subsidiaries (NCI) ,$22,–,$22,$21,$2,$19,$56,$4,$52
Net income attributable to equity holders of the Bank ,$752,$13,$739,$644,$-45,$689,"$1,295",$-103,"$1,398"
