Reported Results ($ millions),"For the three months ended January 31, 2024 Reported","For the three months ended January 31, 2024 Foreign exchange","For the three months ended January 31, 2024 Constant dollar","For the three months ended April 30, 2023 Reported","For the three months ended April 30, 2023 Foreign exchange","For the three months ended April 30, 2023 Constant dollar","For the six months ended April 30, 2023 Reported","For the six months ended April 30, 2023 Foreign exchange","For the six months ended April 30, 2023 Constant dollar"
Net interest income $ ,"$2,246",$19,"$2,227","$1,999",$8,"$1,991","$3,891",$-82,"$3,973"
$Non-interest income ,$857,$6,$851,$743,$-88,$831,"$1,535",$-163,"$1,698"
Total revenue ,"$3,103",$25,"$3,078","$2,742",$-80,"$2,822","$5,426",$-245,"$5,671"
Provision for credit losses ,$574,$6,$568,$436,$-3,$439,$840,$-27,$867
$Non-interest expenses ,"$1,571",$2,"$1,569","$1,478",$-23,"$1,501","$2,911",$-98,"$3,009"
Income tax expense ,$190,$4,$186,$171,$-10,$181,$339,$-20,$359
Net income $ ,$768,$13,$755,$657,$-44,$701,"$1,336",$-100,"$1,436"
interests in subsidiaries (NCI) $ ,$22,–,$22,$21,$2,$19,$56,$4,$52
Net income attributable to equity holders of the Bank $ ,$746,$13,$733,$636,$-46,$682,"$1,280",$-104,"$1,384"
Average assets ($ billions) $ ,$236,$1,$235,$239,$3,$236,$233,$-2,$235
Average liabilities ($ billions) $ ,$184,$2,$182,$181,$4,$177,$175,$-1,$176
